generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
52,20,274733.37526826095,358002.72902351175,41522.55243198297,130100.92973891168
53,20,274733.37526826095,362124.2312701928,41285.89050238783,128731.6334691438
54,20,272601.8409941298,365014.4559968238,41285.89050238783,123910.74505507045
55,20,272601.8409941298,355030.23367241526,41285.89050238783,131430.34216179053
56,20,272601.8409941298,353167.1739541887,41277.44772099847,134066.27222268298
57,20,269514.108557972,361313.834429292,41277.44772099847,124357.06571468743
58,20,268348.7352690833,353739.67001632054,41277.44772099847,131819.76565072438
59,20,268348.7352690833,361418.7256304546,41191.030391498476,126974.46156191682
60,20,268348.7352690833,349601.06027816696,41191.030391498476,137142.43325347133
61,20,268348.7352690833,344377.02695955837,41191.030391498476,143390.93582999078
62,20,268348.7352690833,361951.58066326886,41191.030391498476,122149.22037629152
63,20,262949.01581946365,353396.9116406783,41191.030391498476,128841.15348167368
64,20,259462.6295085714,351696.57179989375,39187.56469223915,135963.2344739093
65,20,258164.61954051844,353019.0766830179,39187.56469223915,134293.44251438245
66,20,257698.4361637465,353061.0172661406,38333.00917802556,133864.15066742175
67,20,257698.4361637465,351464.88173988863,38333.00917802556,132278.0644032103
68,20,255473.6105169517,349344.9264517197,38333.00917802556,137413.0271469046
69,20,255473.6105169517,350390.7317669844,38333.00917802556,135058.14914415398
70,20,255473.6105169517,338186.3590095041,38333.00917802556,146504.95340151823
71,20,255473.6105169517,345260.8022887076,38333.00917802556,138752.69389273314
72,20,254872.1549938076,355979.4272222441,38333.00917802556,131037.12821418696
73,20,254392.419264541,352384.5989265998,38333.00917802556,134571.5411698064
74,20,254392.419264541,343590.4526900609,38218.35976887394,138190.25648330306
75,20,253474.09578546818,343421.16083021415,38218.35976887394,139214.61562470987
76,20,253474.09578546818,347480.7173337673,38218.35976887394,131311.40935462478
77,20,253474.09578546818,346602.295530968,38218.35976887394,131609.7850550923
78,20,253474.09578546818,357913.4983840879,38218.35976887394,120958.0580579846
79,20,253474.09578546818,348503.74724167143,38218.35976887394,133822.98630730054
80,20,253474.09578546818,358580.48524836655,38218.35976887394,124802.16971965219
81,20,253474.09578546818,357203.4330248992,38218.35976887394,129545.85823644648
82,20,253474.09578546818,349189.3889202417,38218.35976887394,132607.47110842133
83,20,253474.09578546818,340045.08198306325,38218.35976887394,139945.87965346966
84,20,252888.78045668066,342298.3581080403,38218.35976887394,137157.69512471277
85,20,252888.78045668066,347900.7121094832,38218.35976887394,134188.49702291226
86,20,248979.3195562437,362358.7477699678,38218.35976887394,118126.68704169306
87,20,248979.3195562437,354208.2471876085,38213.120849564904,127173.24712112511
88,20,248979.3195562437,346668.97273018875,38213.120849564904,135653.91275007086
89,20,247516.03123427488,346297.15726390365,38213.120849564904,136307.9424267747
90,20,247516.03123427488,342795.97025558347,38213.120849564904,140788.3997425914
91,20,247516.03123427488,347840.15846415854,38213.120849564904,136335.9758790335
92,20,247157.05558469187,350491.7167758556,38191.06842241089,126369.25203448448
93,20,247157.05558469187,357264.56518610154,38191.06842241089,121008.00252251411
94,20,247157.05558469187,350179.49582684267,38191.06842241089,130943.28328503625
95,20,247157.05558469187,342088.8444489046,38191.06842241089,136555.64322128968
96,20,246866.78900568912,342976.6179191386,38191.06842241089,134769.6127621398
97,20,246866.78900568912,341654.89676401595,38191.06842241089,135691.89738968664
98,20,245883.50781710978,347503.78676601686,38191.06842241089,133997.1967322129
99,20,245883.50781710978,348191.59237297514,38191.06842241089,133719.3774827624
100,20,245883.50781710978,336038.72803067765,38191.06842241089,145106.02861725714
101,20,245883.50781710978,335737.4236981737,38191.06842241089,144963.36261355094
102,20,245459.35748634025,346159.07736461924,38191.06842241089,131166.99370052348
103,20,245459.35748634025,341138.8434897738,38191.06842241089,140729.8203061442
104,20,243955.71867847987,343817.3656876554,38191.06842241089,138054.01074532594
105,20,243955.71867847987,342134.16181034234,38191.06842241089,138251.47662135592
106,20,243955.71867847987,341386.56603253813,38191.06842241089,137715.3420567237
107,20,243955.71867847987,341544.8105623516,38191.06842241089,138356.04782013383
108,20,243053.53539376365,341259.7452921819,38191.06842241089,137680.3368194634
109,20,242175.56240058236,346275.82052745577,38191.06842241089,132556.5721038982
110,20,242175.56240058236,341774.59981772024,38191.06842241089,138494.51260315016
111,20,242175.56240058236,345251.80266919336,38191.06842241089,137598.75253684158
112,20,242175.56240058236,339023.9532148525,38191.06842241089,143299.67002599212
113,20,241297.58940740107,341964.9223896387,38191.06842241089,138867.70063490933
114,20,241297.58940740107,336345.8876158946,38191.06842241089,145688.1369559122
115,20,241297.58940740107,336321.3011885729,38191.06842241089,145711.99330977065
116,20,241297.58940740107,337420.6021355088,38191.06842241089,144002.43797737933
117,20,241297.58940740107,336454.92489640473,38191.06842241089,144601.3699387606
118,20,241297.58940740107,345011.5097643,38191.06842241089,134887.5683757978
119,20,241297.58940740107,356920.41906862427,38191.06842241089,127561.7202142912
120,20,241297.58940740107,342573.65490608156,38191.06842241089,141672.07307672797
121,20,241297.58940740107,337240.53012256173,38191.06842241089,147395.50304876803
122,20,241297.58940740107,343509.1777947106,38191.06842241089,141147.65372861855
123,20,241297.58940740107,351422.9395541282,38191.06842241089,131970.42436417687
124,20,240996.861645829,358149.188876781,38191.06842241089,122124.3415275308
125,20,240996.861645829,353942.0121957333,38191.06842241089,127473.95688958564
126,20,240996.861645829,350274.15365310136,38191.06842241089,132292.89046653843
127,20,240996.861645829,350168.8989365511,38191.06842241089,132292.89046653843
128,20,240996.861645829,352203.29246030084,38191.06842241089,128447.53078386122
129,20,240996.861645829,343016.9478076912,38191.06842241089,136915.1927794782
130,20,240996.861645829,342945.6390442065,38191.06842241089,136908.60040485475
131,20,240996.861645829,342722.50631465955,38191.06842241089,136573.2897749874
132,20,240996.861645829,342608.05577754887,38191.06842241089,136575.62831364287
133,20,240996.861645829,345862.8287059843,38191.06842241089,133371.3251322477
134,20,240996.861645829,345790.93858488766,38191.06842241089,133402.2954778492
135,20,240996.861645829,344207.57154702244,38191.06842241089,136385.547503428
136,20,240996.861645829,344646.72457165207,38191.06842241089,136333.5444598209
137,20,240996.861645829,345930.0510751101,38191.06842241089,135087.9946656821
138,20,240996.861645829,345928.98421608156,38191.06842241089,135079.9325443665
139,20,240996.861645829,344678.70116862433,38191.06842241089,135668.97890872526
