Hour,Community Load,Solar Power,Wind Power,PV Generation,WT Generation,FC Generation,DG Generation,Unmet Energy,Surplus Energy,H2 Capacity
0,50.0345,0.0,1.454675129822394,0.0,14.546751298223942,35.487748701776056,0.0,0.0,0.0,297.6317818684167
1,41.6977,0.0,1.8403255687413127,0.0,18.40325568741313,23.29444431258687,0.0,0.0,0.0,296.0772643967726
2,33.3564,0.0,2.3265269330744625,0.0,23.265269330744623,10.091130669255378,0.0,0.0,0.0,295.4038489366955
3,27.797,0.0,2.617425520679537,0.0,26.174255206795372,1.6227447932046282,0.0,0.0,0.0,295.2955576592044
4,27.797,0.0,2.512742150918919,0.0,25.12742150918919,2.6695784908108102,0.0,0.0,0.0,295.11740760976755
5,27.797,0.0,2.3244528405956975,0.0,23.244528405956974,4.552471594043027,0.0,0.0,0.0,294.81360570158984
6,41.6977,0.0013610162923408551,2.084268182804192,1.2249146631067696,20.84268182804192,19.63010350885131,0.0,0.0,0.0,293.5036221507823
7,83.3909,0.029483571377002006,1.579753187618312,26.53521423930181,15.79753187618312,41.05815388451507,0.0,0.0,0.0,290.7636719416054
8,138.9893,0.07791196074990467,0.9923198020694981,70.1207646749142,9.923198020694981,58.945337304390804,0.0,0.0,0.0,286.830049165203
9,152.8856,0.12221544218459411,0.6953540166883622,109.9938979661347,6.953540166883622,35.93816186698169,0.0,0.0,0.0,284.43177343167065
10,166.7863,0.1598619728850548,0.6241382504489795,143.87577559654932,6.2413825044897955,16.669141898960902,0.0,0.0,0.0,283.31938491655814
11,166.7863,0.17986729328770606,0.5787864700540543,161.88056395893548,5.787864700540543,0.0,0.0,0.0,0.0,283.3360738371428
12,152.8856,0.17654003920717617,0.5953756278610038,158.88603528645856,5.953756278610038,0.0,0.0,0.0,0.0,283.5622342181036
13,125.0886,0.16286727731927572,0.7293382876911194,146.58054958734817,7.293382876911194,0.0,0.0,0.0,0.0,284.10682158904905
14,111.1879,0.1283799770283069,0.9543615046883619,115.54197932547619,9.54361504688362,0.0,0.0,0.0,0.0,284.3697509420396
15,111.1879,0.08077456357750476,1.121462501877551,72.69710721975429,11.21462501877551,27.276167761470205,0.0,0.0,0.0,282.54951952652607
16,138.9893,0.030496682409100837,1.253776433738555,27.447014168190755,12.53776433738555,90.0,0.0,9.004521494423685,0.0,276.54351352052004
17,152.8856,0.0,1.387356954016547,0.0,13.87356954016547,90.0,49.012030459834534,0.0,0.0,270.537507514514
18,166.7863,0.0,1.3357856944291226,0.0,13.357856944291226,90.0,63.42844305570878,0.0,0.0,264.531501508508
19,152.8856,0.0,1.1618762596183123,0.0,11.618762596183123,90.0,51.26683740381688,0.0,0.0,258.52549550250194
20,125.0886,0.0,1.0351581229961386,0.0,10.351581229961386,90.0,24.737018770038617,0.0,0.0,252.51948949649594
21,97.2916,0.0,1.0977868108108106,0.0,10.977868108108106,86.31373189189189,0.0,0.0,0.0,246.75948069490155
22,55.5939,0.0,1.3198428019856592,0.0,13.198428019856593,42.395471980143405,0.0,0.0,0.0,243.93028670223265
23,41.6977,0.0,1.4447360144026473,0.0,14.447360144026472,27.250339855973525,0.0,0.0,0.0,242.11177887066953
24,50.0345,0.0,1.7634627232123552,0.0,17.634627232123552,32.399872767876445,0.0,0.0,0.0,239.94962519913958
25,41.6977,0.0,2.4250703785372307,0.0,24.25070378537231,17.44699621462769,0.0,0.0,0.0,238.78532782078605
26,33.3564,0.0,3.1284895024644244,0.0,31.284895024644243,2.071504975355758,0.0,0.0,0.0,238.6470892505254
27,27.797,0.0,3.689032191999999,0.0,36.89032191999999,0.0,0.0,0.0,0.0,238.8191250706335
28,27.797,0.0,3.976117586321016,0.0,39.76117586321016,0.0,0.0,0.0,0.0,239.04547434372125
29,27.797,0.0,3.8121389961389958,0.0,38.12138996138996,0.0,0.0,0.0,0.0,239.24080064028809
30,41.6977,0.0012162149143515714,3.3708145117617216,1.0945934229164143,33.708145117617214,6.894961459466373,0.0,0.0,0.0,238.78067641876882
31,83.3909,0.02884473946030292,2.895893890788747,25.960265514272628,28.958938907887468,28.47169557783991,0.0,0.0,0.0,236.8806633671946
32,138.9893,0.07598862919779564,2.5105847526795366,68.38976627801608,25.105847526795365,45.49368619518853,0.0,0.0,0.0,233.84471500582063
33,152.8856,0.11953798719231595,2.338991181661336,107.58418847308435,23.389911816613356,21.91149971030231,0.0,0.0,0.0,232.38248612959092
34,166.7863,0.15168219548349862,2.0315829105879755,136.51397593514875,20.315829105879754,9.956494958971518,0.0,0.0,0.0,231.71805536823146
35,166.7863,0.18277546820427878,1.6704384672123544,164.4979213838509,16.704384672123545,0.0,0.0,0.0,0.0,231.9907906179391
36,152.8856,0.1839233847741388,1.4397777596999446,165.53104629672492,14.397777596999447,0.0,0.0,0.0,0.0,232.50241917809063
37,125.0886,0.15468172571582464,1.4298838277153891,139.21355314424218,14.29883827715389,0.0,0.0,0.0,0.0,233.04016658336027
38,111.1879,0.12485402156538787,1.5728734235675672,112.36861940884909,15.728734235675672,0.0,0.0,0.0,0.0,233.36007516582427
39,111.1879,0.0785928349986678,1.7381859494054055,70.73355149880102,17.381859494054055,23.072489007144924,0.0,0.0,0.0,231.82036952637515
40,138.9893,0.030959670436094978,1.8403255687413127,27.86370339248548,18.40325568741313,90.0,0.0,2.7223409201013737,0.0,225.81436352036914
41,152.8856,0.0,1.776165461250965,0.0,17.76165461250965,90.0,45.12394538749035,0.0,0.0,219.80835751436314
42,166.7863,0.0,1.6248053166949803,0.0,16.248053166949802,90.0,60.53824683305021,0.0,0.0,213.80235150835713
43,152.8856,0.0,1.4480457024247109,0.0,14.480457024247109,90.0,48.40514297575291,0.0,0.0,207.79634550235113
44,125.0886,0.0,1.2398062075763925,0.0,12.398062075763924,90.0,22.690537924236082,0.0,0.0,201.79033949634513
45,97.2916,0.0,1.0641071106188635,0.0,10.641071106188635,86.65052889381137,0.0,0.0,0.0,196.00785508568038
46,55.5939,0.0,0.9183388545482627,0.0,9.183388545482627,46.41051145451737,0.0,0.0,0.0,192.91072385748436
47,41.6977,0.0,0.8625808996183124,0.0,8.625808996183125,33.07189100381687,0.0,0.0,0.0,190.70372412416324
48,50.0345,0.0,0.9669517879845556,0.0,9.669517879845555,40.364982120154444,0.0,0.0,0.0,188.01003162365242
49,41.6977,0.0,1.3776228405868725,0.0,13.776228405868725,27.921471594131273,0.0,0.0,0.0,186.14673688930932
50,33.3564,0.0,2.1158025548108106,0.0,21.158025548108107,12.198374451891894,0.0,0.0,0.0,185.3326978868474
51,27.797,0.0,2.769543413127413,0.0,27.695434131274126,0.10156586872587425,0.0,0.0,0.0,185.3259200510966
52,27.797,0.0,3.0946705300474355,0.0,30.946705300474356,0.0,0.0,0.0,0.0,185.38550907029477
53,27.797,0.0,2.982580034788749,0.0,29.825800347887487,0.0,0.0,0.0,0.0,185.42389177957912
54,41.6977,0.0012004412073711502,2.5626266176458903,1.080397086634035,25.626266176458902,14.99103673690706,0.0,0.0,0.0,184.4234889276
55,83.3909,0.027161601232722914,1.8943076092399334,24.445441109450623,18.943076092399334,40.002382798150045,0.0,0.0,0.0,181.75399391270844
56,138.9893,0.07375134781846987,1.0933701606795365,66.37621303662289,10.933701606795365,61.67938535658174,0.0,0.0,0.0,177.63791881383744
57,152.8856,0.11746460001069758,0.7066229871196913,105.71814000962783,7.066229871196913,40.10123011917527,0.0,0.0,0.0,174.96182738112637
58,166.7863,0.14766388691212792,0.6705225617297299,132.89749822091514,6.705225617297299,27.183576161787585,0.0,0.0,0.0,173.14777491787729
59,166.7863,0.17000944203677376,0.6742287995763925,153.00849783309638,6.742287995763925,7.03551417113971,0.0,0.0,0.0,172.67827113601945
60,152.8856,0.17378872607529264,0.5835120640000001,156.40985346776338,5.835120640000001,0.0,0.0,0.0,0.0,172.85534037589605
61,125.0886,0.15333270472371638,0.5764279159316049,137.99943425134475,5.764279159316049,0.0,0.0,0.0,0.0,173.20865333231396
62,111.1879,0.12256130776531353,0.8305316648736901,110.30517698878218,8.305316648736902,0.0,0.0,0.0,0.0,173.34908077951027
63,111.1879,0.0777212138731947,1.2992397106409268,69.94909248587523,12.992397106409268,28.2464104077155,0.0,0.0,0.0,171.46410177332305
64,138.9893,0.02909925033729414,1.3566345034131275,26.189325303564726,13.566345034131276,90.0,0.0,9.233629662303983,0.0,165.45809576731705
65,152.8856,0.0007362225083534623,1.1800246795366798,0.6626002575181161,11.800246795366798,90.0,50.4227529471151,0.0,0.0,159.45208976131104
66,166.7863,0.0,0.9994109574142305,0.0,9.994109574142305,90.0,66.79219042585771,0.0,0.0,153.44608375530504
67,152.8856,0.0,0.7806688759316049,0.0,7.806688759316049,90.0,55.078911240683965,0.0,0.0,147.44007774929904
68,125.0886,0.0,0.8028428578312187,0.0,8.028428578312187,90.0,27.060171421687812,0.0,0.0,141.43407174329303
69,97.2916,0.0,1.1007351940165473,0.0,11.007351940165472,86.28424805983452,0.0,0.0,0.0,135.67603049805882
70,55.5939,0.0,1.3278039757308326,0.0,13.278039757308326,42.31586024269167,0.0,0.0,0.0,132.8521492673153
71,41.6977,0.0,1.550608392719249,0.0,15.506083927192492,26.191616072807506,0.0,0.0,0.0,131.10429367353436
72,50.0345,0.0,1.973818431293987,0.0,19.73818431293987,30.296315687060133,0.0,0.0,0.0,129.08251751824173
73,41.6977,0.0,2.4590934687346935,0.0,24.590934687346934,17.106765312653064,0.0,0.0,0.0,127.94092490478474
74,33.3564,0.0,2.9145213654980684,0.0,29.145213654980683,4.211186345019318,0.0,0.0,0.0,127.659898121667
75,27.797,0.0,3.191823395618312,0.0,31.918233956183123,0.0,0.0,0.0,0.0,127.73786741272993
76,27.797,0.0,3.1747043832939865,0.0,31.747043832939866,0.0,0.0,0.0,0.0,127.81259797173149
77,27.797,0.0,2.9637214374054066,0.0,29.637214374054068,0.0,0.0,0.0,0.0,127.84741283826764
78,41.6977,0.0011443970047229244,2.617425520679537,1.029957304250632,26.174255206795372,14.493487488953994,0.0,0.0,0.0,126.88021313930508
79,83.3909,0.02848228763413264,2.09606616491561,25.634058870719375,20.9606616491561,36.79617948012452,0.0,0.0,0.0,124.42467897313061
80,138.9893,0.07739488076144047,1.3727669696458908,69.65539268529642,13.727669696458909,55.60623761824466,0.0,0.0,0.0,120.71388567194644
81,152.8856,0.12269663583988372,1.388982208741313,110.42697225589534,13.88982208741313,28.568805656691552,0.0,0.0,0.0,118.8073921346297
82,166.7863,0.1594017215196711,1.441429674572532,143.46154936770398,14.41429674572532,8.910453886570707,0.0,0.0,0.0,118.212767250641
83,166.7863,0.18393047027485454,1.514945192595698,165.5374232473691,15.149451925956981,0.0,0.0,0.0,0.0,118.47575110527148
84,152.8856,0.18367530833705373,1.5660073098378382,165.30777750334838,15.660073098378382,0.0,0.0,0.0,0.0,119.00703692746632
85,125.0886,0.16068126923236103,1.7616515521235516,144.61314230912495,17.616515521235517,0.0,0.0,0.0,0.0,119.70970558912178
86,111.1879,0.13352887074448988,1.8384774224555978,120.1759836700409,18.384774224555976,0.0,0.0,0.0,0.0,120.22757046820875
87,111.1879,0.08588147374452933,1.9319729097142861,77.2933263700764,19.31972909714286,14.574844532780745,0.0,0.0,0.0,119.25494153709225
88,138.9893,0.03199690755666723,1.9338655612399336,28.79721680100051,19.338655612399336,90.0,0.0,0.8534275866001337,0.0,113.24893553108625
89,152.8856,0.0011529168167180807,1.8980580722868168,1.0376251350462726,18.98058072286817,90.0,42.86739414208557,0.0,0.0,107.24292952508024
90,166.7863,0.0,2.008379557877552,0.0,20.08379557877552,90.0,56.70250442122449,0.0,0.0,101.23692351907424
91,152.8856,0.0,1.8053618684258133,0.0,18.053618684258133,90.0,44.83198131574187,0.0,0.0,95.23091751306823
92,125.0886,0.0,1.598743033892995,0.0,15.98743033892995,90.0,19.101169661070045,0.0,0.0,89.22491150706223
93,97.2916,0.0,1.4282377632829568,0.0,14.282377632829569,83.00922236717044,0.0,0.0,0.0,83.68542386160541
94,55.5939,0.0,1.514945192595698,0.0,15.149451925956981,40.44444807404302,0.0,0.0,0.0,80.98642832780207
95,41.6977,0.0,1.8182061571671273,0.0,18.182061571671273,23.515638428328725,0.0,0.0,0.0,79.41714982073977
96,50.0345,0.0,1.9547438780011028,0.0,19.547438780011028,30.487061219988973,0.0,0.0,0.0,77.38264456748725
97,41.6977,0.0,2.3265269330744625,0.0,23.265269330744623,18.432430669255375,0.0,0.0,0.0,76.1525857974335
98,33.3564,0.0,2.926195835128517,0.0,29.26195835128517,4.094441648714831,0.0,0.0,0.0,75.87934978483992
99,27.797,0.0,3.42402625687369,0.0,34.240262568736895,0.0,0.0,0.0,0.0,76.00124934695116
100,27.797,0.0,3.602099172147822,0.0,36.020991721478225,0.0,0.0,0.0,0.0,76.15683837951966
101,27.797,0.0,3.5525674363552118,0.0,35.52567436355212,0.0,0.0,0.0,0.0,76.30305654315443
102,41.6977,0.0011777873932986927,3.1942730413678975,1.0600086539688234,31.942730413678973,8.694960932352203,0.0,0.0,0.0,75.72281223669115
103,83.3909,0.029655549219613064,2.6683738025372308,26.689994297651758,26.683738025372307,30.017167676975934,0.0,0.0,0.0,73.7196645772333
104,138.9893,0.08239683704147115,1.8793413824247103,74.15715333732403,18.793413824247104,46.03873283842884,0.0,0.0,0.0,70.64734340016098
105,152.8856,0.13089023860894483,1.2897772449111968,117.80121474805034,12.897772449111969,22.186612802837715,0.0,0.0,0.0,69.1667552918635
106,166.7863,0.17257230858861689,1.2929281310358522,155.31507772975522,12.929281310358522,0.0,0.0,0.0,0.0,69.1943401926224
107,166.7863,0.1962989821535875,1.454675129822394,176.66908393822874,14.546751298223942,0.0,0.0,0.0,0.0,69.65652058898773
108,152.8856,0.19299535283368024,1.5849219768339768,173.69581755031223,15.849219768339768,0.0,0.0,0.0,0.0,70.3500775112325
109,125.0886,0.17434982829599965,1.9471392079426373,156.9148454663997,19.471392079426373,0.0,0.0,0.0,0.0,71.32057335669407
110,111.1879,0.1388368782275776,2.378684464679536,124.95319040481984,23.78684464679536,0.0,0.0,0.0,0.0,72.03101915496786
111,111.1879,0.09001393151187966,2.4420515526883615,81.01253836069169,24.420515526883616,5.754846112424687,0.0,0.0,0.0,71.64697870702494
112,138.9893,0.034127844918843735,2.3744902230204077,30.71506042695936,23.744902230204076,84.52933734283656,0.0,0.0,0.0,66.00604862074957
113,152.8856,0.001284877403330229,2.1555501710049634,1.1563896629972061,21.555501710049633,90.0,40.17370862695316,0.0,0.0,60.00004261474356
114,166.7863,0.0,1.8569987319316055,0.0,18.569987319316056,90.0,58.216312680683956,0.0,0.0,53.99403660873756
115,152.8856,0.0,1.7184457012597898,0.0,17.184457012597896,90.0,45.70114298740211,0.0,0.0,47.988030602731556
116,125.0886,0.0,1.8532873822393814,0.0,18.532873822393814,90.0,16.55572617760619,0.0,0.0,41.98202459672555
117,97.2916,0.0,2.006451824679537,0.0,20.06451824679537,77.22708175320463,0.0,0.0,0.0,36.828398854102616
118,55.5939,0.0,2.2504080615642583,0.0,22.504080615642582,33.08981938435741,0.0,0.0,0.0,34.62020269899034
119,41.6977,0.0,2.3849828982327628,0.0,23.84982898232763,17.847871017672368,0.0,0.0,0.0,33.429153582028555
120,50.0345,0.0,2.4804814472895744,0.0,24.804814472895742,25.22968552710426,0.0,0.0,0.0,31.74549088419043
121,41.6977,0.0,2.6594764016679546,0.0,26.594764016679548,15.102935983320451,0.0,0.0,0.0,30.737620615033244
122,33.3564,0.0,2.80599238869498,0.0,28.0599238869498,5.2964761130502005,0.0,0.0,0.0,30.384168755637166
123,27.797,0.0,2.9755005655686713,0.0,29.755005655686713,0.0,0.0,0.0,0.0,30.42121210587989
124,27.797,0.0,3.0682373970038612,0.0,30.68237397003861,0.0,0.0,0.0,0.0,30.475800262069807
125,27.797,0.0,3.04431309844898,0.0,30.443130984489798,0.0,0.0,0.0,0.0,30.52586219961421
126,41.6977,0.001114613549677633,3.0490899062327634,1.0031521947098698,30.490899062327635,10.203648742962493,0.0,0.0,0.0,29.844938025909673
127,83.3909,0.028139189377777374,2.8657596451583003,25.32527043999964,28.657596451583004,29.408033108417357,0.0,0.0,0.0,27.882439987309915
128,138.9893,0.08012949190020444,2.334832679536679,72.116542710184,23.348326795366788,43.52443049444919,0.0,0.0,0.0,24.977906754447105
129,152.8856,0.12952798800623994,1.8329382909740768,116.57518920561593,18.32938290974077,17.98102788464331,0.0,0.0,0.0,23.777971627010114
130,166.7863,0.16995523786001004,1.7292000304644235,152.95971407400904,17.292000304644233,0.0,0.0,0.0,0.0,23.843533520660312
131,166.7863,0.19573685708574917,1.9018121012597908,176.16317137717425,19.01812101259791,0.0,0.0,0.0,0.0,24.38073607938573
132,152.8856,0.1978317510869028,2.215861863360176,178.0485759782125,22.158618633601762,0.0,0.0,0.0,0.0,25.276009490960593
133,125.0886,0.17674344506188217,2.474055057862108,159.06910055569395,24.74055057862108,0.0,0.0,0.0,0.0,26.38694829620439
134,111.1879,0.14369236814886407,2.733345484178709,129.32313133397767,27.33345484178709,0.0,0.0,0.0,0.0,27.247166683313456
135,111.1879,0.09219543110954483,2.9472725866254823,82.97588799859035,29.472725866254823,0.0,0.0,0.0,0.0,27.271018026702418
136,138.9893,0.0332929039204307,3.0562626639426367,29.963613528387633,30.562626639426366,78.46305983218599,0.0,0.0,0.0,22.03491126446111
137,152.8856,0.0013537722122865235,3.065840435715388,1.218394991057871,30.658404357153877,90.0,31.008800651788263,0.0,0.0,16.0289052584551
138,166.7863,0.0,3.063444481976835,0.0,30.634444819768348,90.0,46.15185518023168,0.0,0.0,10.022899252449093
139,152.8856,0.0,3.113971377667954,0.0,31.139713776679542,90.0,31.74588622332047,0.0,0.0,4.016893246443087
140,125.0886,0.0,3.0682373970038612,0.0,30.68237397003861,60.19314529794965,34.21308073201174,0.0,0.0,0.0
141,97.2916,0.0,2.758204633204633,0.0,27.58204633204633,0.0,69.70955366795367,0.0,0.0,0.0
142,55.5939,0.0,2.4314312075366797,0.0,24.314312075366797,0.0,31.2795879246332,0.0,0.0,0.0
143,41.6977,0.0,2.406039028138997,0.0,24.06039028138997,0.0,17.637309718610027,0.0,0.0,0.0
144,50.0345,0.0,2.448435147190292,0.0,24.48435147190292,0.0,25.550148528097083,0.0,0.0,0.0
145,41.6977,0.0,2.540875408555985,0.0,25.40875408555985,0.0,16.28894591444015,0.0,0.0,0.0
146,33.3564,0.0,2.699637155618313,0.0,26.996371556183128,0.0,0.0,6.360028443816873,0.0,0.0
147,27.797,0.0,2.7650049606883624,0.0,27.650049606883623,0.0,0.0,0.14695039311637714,0.0,0.0
148,27.797,0.0,2.571353996108109,0.0,25.71353996108109,0.0,0.0,2.0834600389189113,0.0,0.0
149,27.797,0.0,2.2688059231594035,0.0,22.688059231594035,0.0,0.0,5.108940768405965,0.0,0.0
150,41.6977,0.0011533760660122194,1.9719069296679543,1.0380384594109975,19.719069296679542,0.0,20.940592243909457,0.0,0.0,0.0
151,83.3909,0.030677614782922913,1.6178364951439608,27.609853304630622,16.178364951439608,0.0,39.60268174392977,0.0,0.0,0.0
152,138.9893,0.08473569862373413,1.167912928688362,76.26212876136073,11.67912928688362,0.0,51.048041951755636,0.0,0.0,0.0
153,152.8856,0.1325889555039926,0.9613484081632651,119.33005995359333,9.61348408163265,0.0,23.942055964774028,0.0,0.0,0.0
154,166.7863,0.16727736730926332,0.9155893024335355,150.549630578337,9.155893024335356,0.0,0.0,7.080776397327639,0.0,0.0
155,166.7863,0.19351337141704783,0.888261343382239,174.16203427534305,8.88261343382239,0.0,0.0,0.0,0.0,0.30759036206529206
156,152.8856,0.19111523229212538,0.9087287694826255,172.00370906291283,9.087287694826255,0.0,0.0,0.0,0.0,0.8412059764008961
157,125.0886,0.1718993394093091,1.1348692818532817,154.7094054683782,11.348692818532818,0.0,0.0,0.0,0.0,1.6163045926397532
158,111.1879,0.14039783134594652,1.5918256615642576,126.35804821135187,15.918256615642576,0.0,0.0,0.0,0.0,2.204463602880189
159,111.1879,0.09079841326959948,2.078381506965251,81.71857194263953,20.78381506965251,8.685512987707966,0.0,0.0,0.0,1.6248497898866643
160,138.9893,0.03479865231770911,2.3410718406883615,31.318787085938197,23.410718406883614,24.34837410145166,59.91142040572651,0.0,0.0,0.0
161,152.8856,0.0014427292826456391,2.1996974930038604,1.2984563543810752,21.996974930038604,0.0,129.59016871558032,0.0,0.0,0.0
162,166.7863,0.0,2.0025990687346944,0.0,20.025990687346944,0.0,146.76030931265308,0.0,0.0,0.0
163,152.8856,0.0,1.9319729097142861,0.0,19.31972909714286,0.0,133.56587090285714,0.0,0.0,0.0
164,125.0886,0.0,2.2688059231594035,0.0,22.688059231594035,0.0,102.40054076840596,0.0,0.0,0.0
165,97.2916,0.0,2.3286019629961383,0.0,23.286019629961384,0.0,74.00558037003862,0.0,0.0,0.0
166,55.5939,0.0,2.1276883151285166,0.0,21.276883151285165,0.0,34.31701684871483,0.0,0.0,0.0
167,41.6977,0.0,1.9471392079426373,0.0,19.471392079426373,0.0,22.226307920573625,0.0,0.0,0.0
168,50.0345,0.0,1.8237240837153879,0.0,18.237240837153877,0.0,31.797259162846125,0.0,0.0,0.0
169,41.6977,0.0,1.9376535510204091,0.0,19.376535510204093,0.0,22.321164489795905,0.0,0.0,0.0
170,33.3564,0.0,2.2585755836999444,0.0,22.585755836999443,0.0,0.0,10.770644163000558,0.0,0.0
171,27.797,0.0,2.5757234552939887,0.0,25.757234552939888,0.0,0.0,2.0397654470601125,0.0,0.0
172,27.797,0.0,2.6862152315763925,0.0,26.862152315763925,0.0,0.0,0.9348476842360753,0.0,0.0
173,27.797,0.0,2.602021096525096,0.0,26.02021096525096,0.0,0.0,1.77678903474904,0.0,0.0
174,41.6977,0.0011858634482795909,2.3306779305725316,1.0672771034516317,23.306779305725314,0.0,17.323643590823053,0.0,0.0,0.0
175,83.3909,0.029898695986874706,1.8662926292509656,26.908826388187236,18.662926292509656,0.0,37.81914731930311,0.0,0.0,0.0
176,138.9893,0.0823405419836447,1.192187737698842,74.10648778528024,11.92187737698842,0.0,52.96093483773133,0.0,0.0,0.0
177,152.8856,0.13077643406408304,0.8950648164324325,117.69879065767475,8.950648164324326,0.0,26.23616117800094,0.0,0.0,0.0
178,166.7863,0.16404588843585907,1.0568404865482623,147.64129959227316,10.568404865482623,0.0,0.0,8.576595542244235,0.0,0.0
179,166.7863,0.18979414000641218,1.3987511712829561,170.81472600577095,13.987511712829562,0.0,0.0,0.0,0.0,0.34084206494649594
180,152.8856,0.18997965204159123,1.7962138074440155,170.9816868374321,17.962138074440155,0.0,0.0,0.0,0.0,1.0230246984143494
181,125.0886,0.17429670195215116,2.151558883618312,156.86703175693603,21.51558883618312,0.0,0.0,0.0,0.0,2.031289952878766
182,111.1879,0.13972862374419526,2.491211157250964,125.75576136977574,24.91211157250964,0.0,0.0,0.0,0.0,2.778208359894976
183,111.1879,0.09007840923006306,2.5235434875763927,81.07056830705676,25.23543487576393,4.88189681717931,0.0,0.0,0.0,2.4524227865096364
184,138.9893,0.034650244515294186,2.491211157250964,31.185220063764767,24.91211157250964,36.749555455846895,46.142412907878686,0.0,0.0,0.0
185,152.8856,0.001528865108130373,2.2770069606795373,1.3759785973173357,22.770069606795374,0.0,128.7395517958873,0.0,0.0,0.0
186,166.7863,0.0,2.103949749445118,0.0,21.03949749445118,0.0,145.74680250554883,0.0,0.0,0.0
187,152.8856,0.0,1.8774746084324334,0.0,18.774746084324335,0.0,134.11085391567568,0.0,0.0,0.0
188,125.0886,0.0,1.7580318371583012,0.0,17.58031837158301,0.0,107.508281628417,0.0,0.0,0.0
189,97.2916,0.0,1.7471936947115272,0.0,17.47193694711527,0.0,79.81966305288474,0.0,0.0,0.0
