Hour,Community Load,Solar Power,Wind Power,PV Generation,WT Generation,FC Generation,DG Generation,Unmet Energy,Surplus Energy,H2 Capacity
22,55.5939,0.0,1.3198428019856592,0.0,65.99214009928296,0.0,0.0,0.0,0.0,644.4159381086411
23,41.6977,0.0,1.4447360144026473,0.0,72.23680072013236,0.0,0.0,0.0,0.0,644.993704879022
24,50.0345,0.0,1.7634627232123552,0.0,88.17313616061776,0.0,0.0,0.0,0.0,645.7152466442228
25,41.6977,0.0,2.4250703785372307,0.0,121.25351892686153,0.0,0.0,0.0,0.0,647.2203567320283
26,33.3564,0.0,3.1284895024644244,0.0,156.4244751232212,0.0,0.0,0.0,0.0,649.548671666792
27,27.797,0.0,3.689032191999999,0.0,184.45160959999995,0.0,0.0,0.0,0.0,652.5124075240892
28,27.797,0.0,3.976117586321016,0.0,198.8058793160508,0.0,0.0,0.0,0.0,655.7477106462848
29,27.797,0.0,3.8121389961389958,0.0,190.60694980694979,0.0,0.0,0.0,0.0,658.8278988858757
30,41.6977,0.0012162149143515714,3.3708145117617216,0.6567560537498486,168.54072558808608,0.0,0.0,0.0,0.0,661.2400569169374
31,83.3909,0.02884473946030292,2.895893890788747,15.576159308563575,144.79469453943733,0.0,0.0,0.0,0.0,662.6964344221699
32,138.9893,0.07598862919779564,2.5105847526795366,41.03385976680965,125.52923763397683,0.0,0.0,0.0,0.0,663.2181008594821
33,152.8856,0.11953798719231595,2.338991181661336,64.55051308385062,116.94955908306679,0.0,0.0,0.0,0.0,663.7594557383156
34,166.7863,0.15168219548349862,2.0315829105879755,81.90838556108926,101.57914552939877,0.0,0.0,0.0,0.0,664.0754249751627
35,166.7863,0.18277546820427878,1.6704384672123544,98.69875283031055,83.52192336061772,0.0,0.0,0.0,0.0,664.3674266868829
36,152.8856,0.1839233847741388,1.4397777596999446,99.31862777803495,71.98888798499723,0.0,0.0,0.0,0.0,664.715949417535
37,125.0886,0.15468172571582464,1.4298838277153891,83.52813188654531,71.49419138576945,0.0,0.0,0.0,0.0,665.2822631010653
38,111.1879,0.12485402156538787,1.5728734235675672,67.42117164530946,78.64367117837836,0.0,0.0,0.0,0.0,665.9420971544864
39,111.1879,0.0785928349986678,1.7381859494054055,42.44013089928062,86.90929747027027,0.0,0.0,0.0,0.0,666.2856936371536
40,138.9893,0.030959670436094978,1.8403255687413127,16.718222035491287,92.01627843706564,30.25479952744305,0.0,0.0,0.0,664.2666879963499
41,152.8856,0.0,1.776165461250965,0.0,88.80827306254825,37.800000000000004,26.277326937451754,0.0,0.0,661.7441654738274
42,166.7863,0.0,1.6248053166949803,0.0,81.24026583474901,37.800000000000004,47.746034165251,0.0,0.0,659.2216429513048
43,152.8856,0.0,1.4480457024247109,0.0,72.40228512123554,37.800000000000004,42.68331487876447,0.0,0.0,656.6991204287823
44,125.0886,0.0,1.2398062075763925,0.0,61.99031037881962,37.800000000000004,25.298289621180373,0.0,0.0,654.1765979062598
45,97.2916,0.0,1.0641071106188635,0.0,53.20535553094318,37.800000000000004,6.286244469056818,0.0,0.0,651.6540753837372
46,55.5939,0.0,0.9183388545482627,0.0,45.91694272741314,9.676957272586861,0.0,0.0,0.0,651.008299122637
47,41.6977,0.0,0.8625808996183124,0.0,43.12904498091562,0.0,0.0,0.0,0.0,651.035378622276
48,50.0345,0.0,0.9669517879845556,0.0,48.34758939922778,1.6869106007722223,0.0,0.0,0.0,650.9228053422778
49,41.6977,0.0,1.3776228405868725,0.0,68.88114202934362,0.0,0.0,0.0,0.0,651.4370866779681
50,33.3564,0.0,2.1158025548108106,0.0,105.79012774054053,0.0,0.0,0.0,0.0,652.8074545000864
51,27.797,0.0,2.769543413127413,0.0,138.47717065637065,0.0,0.0,0.0,0.0,654.9014036746663
52,27.797,0.0,3.0946705300474355,0.0,154.73352650237177,0.0,0.0,0.0,0.0,657.3029055274139
53,27.797,0.0,2.982580034788749,0.0,149.12900173943743,0.0,0.0,0.0,0.0,659.5983758305924
